source,target,weight,shared_episode_count,association_strength,display_width
Eddie Pensiero,Lyle Bland,0.15,1,0.37796,0.3065
Myrtle,Tyrone Slothrop,0.15,1,0.14744,0.3065
Enzian,Krupp,0.14991,3,0.23643,0.3064
Dr. Kevin Spectro,Thomas Gwenhidwy,0.14968,3,0.67082,0.3062
Franz Pökler,Leni Pökler,0.14855,1,0.14907,0.305
Claire,Jessica Swanlake,0.14815,1,0.30151,0.3046
Claire,Penelope,0.14815,1,0.70711,0.3046
Claire,Roger Mexico,0.14815,1,0.2357,0.3046
Géza Rózsavölgyi,Roger Mexico,0.14763,3,0.31623,0.3041
Andreas Orukambe,Tyrone Slothrop,0.14664,4,0.20851,0.303
Franz Pökler,Ilse Pökler,0.14659,2,0.3849,0.303
Jessica Swanlake,Milton Gloaming,0.14614,3,0.45227,0.3025
Gottfried,Osbie Feel,0.14545,1,0.16903,0.3018
Gerhardt von Göll,Katje Borgesius,0.14523,6,0.30779,0.3016
Carroll Eventyr,Roger Mexico,0.14477,5,0.48113,0.3011
Gustav,Seaman Bodine,0.14273,4,0.59628,0.299
Ernest Pudding,Webley Silvernail,0.14206,4,0.5164,0.2983
Gerhardt von Göll,Osbie Feel,0.14142,3,0.3,0.2976
Tantivy Mucker-Maffick,William Slothrop,0.1385,2,0.33333,0.2945
Andreas Orukambe,Pavel,0.13814,3,0.53033,0.2941
Glimpf,Marvy,0.13809,2,0.40825,0.2941
Myron Grunton,Ned Pointsman,0.13724,5,0.5,0.2932
Clive Mossmoon,Tyrone Slothrop,0.13696,6,0.31277,0.2929
Andreas Orukambe,Laszlo Jamf,0.13651,2,0.15076,0.2924
Roger Mexico,Thomas Gwenhidwy,0.13589,5,0.52705,0.2917
Margherita Erdmann,Weissmann / Blicero,0.13569,5,0.3371,0.2915
Laszlo Jamf,Vaslav,0.13452,3,0.36927,0.2902
Peter Sachsa,Tyrone Slothrop,0.13436,5,0.26064,0.2901
Andreas Orukambe,Marvy,0.13422,3,0.30619,0.2899
Carroll Eventyr,Tyrone Slothrop,0.1335,4,0.24077,0.2891
Gerhardt von Göll,Ned Pointsman,0.13166,5,0.25,0.2871
Marvy,Ned Pointsman,0.13052,3,0.19365,0.2859
Edwin Treacle,Roger Mexico,0.13043,4,0.42164,0.2858
Ned Pointsman,Weissmann / Blicero,0.12977,6,0.28604,0.2851
Edwin Treacle,Ned Pointsman,0.12957,4,0.4,0.2849
