part_index,episode_index,episode_id,episode_label,word_count,paragraph_count,slothrop_mentions_total,slothrop_mentions_per_1k_words,slothrop_paragraph_count,slothrop_paragraph_coverage,slothrop_present,slothrop_canonical_mentions,slothrop_alias_mentions,slothrop_canonical_share,slothrop_alias_share,slothrop_alias_diversity,slothrop_alias_effective_n,slothrop_surface_group_count,slothrop_human_mention_share,slothrop_human_rank_within_episode,slothrop_is_top_character,slothrop_orbit_character_count,slothrop_orbit_total_mentions,slothrop_orbit_effective_n,slothrop_top_cocharacter,slothrop_top_cocharacter_count,slothrop_absence_run_index,slothrop_absence_run_length_total
1,18,1.18,Part 1 Episode 18 (1.18),4335,40,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,1,4
1,19,1.19,Part 1 Episode 19 (1.19),6311,77,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,2,4
1,20,1.20,Part 1 Episode 20 (1.20),2898,36,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,3,4
1,21,1.21,Part 1 Episode 21 (1.21),1565,46,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,4,4
2,22,2.01,Part 2 Episode 1 (2.01),3542,81,46,12.9870,46,0.5679,yes,46,0,1.0000,0.0000,0,1.0000,1,0.4600,1,yes,5,54,2.4966,Tantivy Mucker-Maffick,25,0,0
2,23,2.02,Part 2 Episode 2 (2.02),7003,186,75,10.7097,75,0.4032,yes,75,0,1.0000,0.0000,0,1.0270,2,0.5474,1,yes,8,62,4.2335,Tantivy Mucker-Maffick,22,0,0
2,24,2.03,Part 2 Episode 3 (2.03),9223,176,62,6.7223,62,0.3523,yes,62,0,1.0000,0.0000,0,1.0000,1,0.3758,1,yes,11,103,5.8132,Katje Borgesius,27,0,0
2,25,2.04,Part 2 Episode 4 (2.04),4623,89,2,0.4326,2,0.0225,yes,2,0,1.0000,0.0000,0,1.0000,1,0.0408,7,no,11,47,5.4814,Ernest Pudding,14,0,0
2,26,2.05,Part 2 Episode 5 (2.05),3261,59,25,7.6664,25,0.4237,yes,25,0,1.0000,0.0000,0,1.0000,1,0.4545,1,yes,7,30,3.1915,Hilary Bounce,15,0,0
2,27,2.06,Part 2 Episode 6 (2.06),2004,42,20,9.9800,20,0.4762,yes,20,0,1.0000,0.0000,0,1.0000,1,0.4878,1,yes,4,21,2.8089,Tamara,10,0,0
2,28,2.07,Part 2 Episode 7 (2.07),9018,171,63,6.9860,63,0.3684,yes,61,2,0.9683,0.0317,1,1.0655,2,0.5164,1,yes,14,59,8.0023,Laszlo Jamf,14,0,0
2,29,2.08,Part 2 Episode 8 (2.08),3966,49,9,2.2693,9,0.1837,yes,9,0,1.0000,0.0000,0,1.0000,1,0.0978,3,no,19,83,7.6459,Ned Pointsman,22,0,0
3,30,3.01,Part 3 Episode 1 (3.01),5718,156,51,8.9192,51,0.3269,yes,45,6,0.8824,0.1176,2,1.2731,3,0.4554,1,yes,13,61,6.8275,Tchitcherine,16,0,0
3,31,3.02,Part 3 Episode 2 (3.02),8354,164,57,6.8231,57,0.3476,yes,54,3,0.9474,0.0526,1,1.1108,2,0.5588,1,yes,12,45,3.4497,Glimpf,20,0,0
3,32,3.03,Part 3 Episode 3 (3.03),6749,85,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,1,1
3,33,3.04,Part 3 Episode 4 (3.04),3129,73,40,12.7836,40,0.5479,yes,40,0,1.0000,0.0000,0,1.0000,1,0.4255,1,yes,7,54,3.2986,Schnorp,22,0,0
3,34,3.05,Part 3 Episode 5 (3.05),10251,111,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,1,1
3,35,3.06,Part 3 Episode 6 (3.06),5199,122,56,10.7713,56,0.4590,yes,45,11,0.8036,0.1964,1,1.4613,2,0.5957,1,yes,10,38,5.5538,Magda,11,0,0
3,36,3.07,Part 3 Episode 7 (3.07),5178,74,66,12.7462,66,0.8919,yes,53,13,0.8030,0.1970,1,1.4627,2,0.7253,1,yes,8,25,5.0813,Mickey Rooney,7,0,0
3,37,3.08,Part 3 Episode 8 (3.08),2992,51,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,1,1
